Gene	N
ENSG00000005187	30993.59375
ENSG00000005189	30081.7734375
ENSG00000005194	14042.109375
ENSG00000005206	31068.109375
ENSG00000005238	30083.2015503876
ENSG00000005243	30995.0775193798
ENSG00000005249	30995.0775193798
ENSG00000005302	9047.50387596899
ENSG00000005339	31023.1796875
ENSG00000005379	30782.7364341085
ENSG00000005381	30995.0775193798
ENSG00000005436	8135.62790697674
ENSG00000005448	30995.0775193798
ENSG00000005469	30995.0775193798
ENSG00000005471	30995.0775193798
ENSG00000005483	25998.7596899225
ENSG00000005486	14067.8571428571
ENSG00000005513	31023.1796875
ENSG00000005700	30995.0775193798
ENSG00000005801	30995.0775193798
ENSG00000005810	30989.6953125
ENSG00000005812	30777.3671875
ENSG00000005844	31026.7142857143
ENSG00000005882	25998.7596899225
ENSG00000005884	30995.0775193798
ENSG00000005889	9047.50387596899
ENSG00000005893	9047.50387596899
ENSG00000005955	14043.8217054264
ENSG00000005961	30782.7364341085
ENSG00000006007	30993.59375
ENSG00000006015	25594.368
ENSG00000006016	29437.824
ENSG00000006025	30995.0775193798
ENSG00000006042	30182.8682170543
ENSG00000006047	28757.765625
ENSG00000006062	30995.0775193798
ENSG00000006075	9047.50387596899
ENSG00000006114	25786.4186046512
ENSG00000006118	29959.905511811
ENSG00000006125	30782.7364341085
ENSG00000006194	31023.1796875
ENSG00000006282	30995.0775193798
ENSG00000006327	31023.1796875
ENSG00000006432	30782.7364341085
ENSG00000006451	14043.8217054264
ENSG00000006453	30995.3359375
ENSG00000006459	19775.3333333333
ENSG00000006468	30083.2015503876
ENSG00000006530	30995.0775193798
ENSG00000006534	30978.6746031746
ENSG00000006555	19266.5271317829
ENSG00000006576	30806.4682539683
ENSG00000006607	30033.7364341085
ENSG00000006625	30782.7364341085
ENSG00000006634	30995.0775193798
ENSG00000006638	31068.109375
ENSG00000006652	30995.0775193798
ENSG00000006695	30782.7364341085
ENSG00000006704	14067.8571428571
ENSG00000006712	30782.7364341085
ENSG00000006715	30782.7364341085
ENSG00000006740	25786.4186046512
ENSG00000006744	30995.0775193798
ENSG00000006747	29459.0310077519
ENSG00000006756	9047.50387596899
ENSG00000006757	9047.50387596899
ENSG00000006831	30778.28125
ENSG00000006837	30158.5658914729
ENSG00000007038	31023.1796875
ENSG00000007047	28331.119047619
ENSG00000007062	8135.62790697674
ENSG00000007080	31069.76
ENSG00000007129	26014.8897637795
ENSG00000007168	25993.9921875
ENSG00000007171	28618.2713178295
ENSG00000007202	30782.7364341085
ENSG00000007237	30989.6953125
ENSG00000007255	31032.2380952381
ENSG00000007264	30855.78125
ENSG00000007312	30777.3671875
ENSG00000007314	30989.6953125
ENSG00000007341	31004.4453125
ENSG00000007350	9047.50387596899
ENSG00000007372	30272.3671875
ENSG00000007376	31023.1796875
ENSG00000007384	28791.25
ENSG00000007392	31023.1796875
ENSG00000007402	30984.2283464567
ENSG00000007516	31023.1796875
ENSG00000007520	25115.65625
ENSG00000007541	31023.1796875
ENSG00000007545	28364.265625
ENSG00000007866	30993.6456692913
ENSG00000007923	30995.0775193798
ENSG00000007944	30995.0775193798
ENSG00000007952	7294.86821705426
ENSG00000007968	30995.0775193798
ENSG00000008018	30995.0775193798
ENSG00000008056	9047.50387596899
ENSG00000008083	30995.0775193798
ENSG00000008086	9047.50387596899
ENSG00000008128	11384.0697674419
ENSG00000008130	14043.8217054264
ENSG00000008226	30782.7364341085
ENSG00000008256	30782.7364341085
ENSG00000008277	30995.0775193798
ENSG00000008282	30782.7364341085
ENSG00000008283	30777.3671875
ENSG00000008294	30782.7364341085
ENSG00000008300	30235.2283464567
ENSG00000008311	30782.7364341085
ENSG00000008323	30487.0775193798
ENSG00000008324	30995.0775193798
ENSG00000008382	14064.390625
ENSG00000008394	30995.0775193798
ENSG00000008405	30782.7364341085
ENSG00000008438	31032.2380952381
ENSG00000008441	30246.0775193798
ENSG00000008513	30995.0775193798
ENSG00000008516	30274.1796875
ENSG00000008517	28364.265625
ENSG00000008710	25815.1484375
ENSG00000008735	30782.7364341085
ENSG00000008838	30995.0775193798
ENSG00000008853	30782.7364341085
ENSG00000008869	25786.4186046512
ENSG00000008952	30995.0775193798
ENSG00000008988	30743.3565891473
ENSG00000009307	30995.0775193798
ENSG00000009335	30782.7364341085
ENSG00000009413	30778.265625
ENSG00000009694	8135.62790697674
ENSG00000009724	25278.4186046512
ENSG00000009780	30782.7364341085
ENSG00000009790	30995.0775193798
ENSG00000009830	30990.15625
ENSG00000009844	30782.7364341085
ENSG00000009954	14067.8571428571
ENSG00000010017	30508.8759689922
ENSG00000010030	30741.9606299213
ENSG00000010072	30083.2015503876
ENSG00000010165	30782.7364341085
ENSG00000010219	30029.28125
ENSG00000010244	14043.8217054264
ENSG00000010256	14040.3700787402
ENSG00000010270	30782.7364341085
ENSG00000010278	30782.7364341085
ENSG00000010282	28489.1317829457
ENSG00000010292	30995.0775193798
ENSG00000010295	30033.7364341085
ENSG00000010310	30819.9365079365
ENSG00000010318	30771.9133858268
ENSG00000010319	30984.2283464567
ENSG00000010322	30984.2283464567
ENSG00000010327	30771.9133858268
ENSG00000010361	31032.2380952381
ENSG00000010379	30178.5
ENSG00000010404	9047.50387596899
ENSG00000010438	13231.6124031008
ENSG00000010539	30810.8515625
ENSG00000010610	30995.0775193798
ENSG00000010626	30782.7364341085
ENSG00000010671	9047.50387596899
ENSG00000010704	30990.59375
ENSG00000010803	30995.0775193798
ENSG00000010810	30990.59375
